meal_name,emoji,quick,common_ingredients,variants_json,sides_json,category,image_url,nutrition_json
Spaghetti Bolognese,🍝,,spaghetti;tinned tomatoes;onion;carrots;celery,"[{""name"":""meat"",""ingredients"":[""beef/pork mince""]},{""name"":""veg"",""ingredients"":[""lentils""]},{""name"":""meat & veg"",""ingredients"":[""beef/pork mince"",""lentils""]}]","[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]}]",Italian,,"{""kcal"":620,""protein"":32,""carbs"":75,""sugar"":9,""fat"":20,""satFat"":7,""fibre"":6,""salt"":1.4,""basis"":""estimated""}"
Korma,🥘,,coconut milk;tinned tomatoes;garam masala;chicken stock;naan;indian sides;onion;popadums,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""chickpea"",""ingredients"":[""chickpeas""]}]","[{""name"":""rice"",""ingredients"":[""rice""]}]",Indian & curries,https://images.unsplash.com/photo-1728542575492-47e02eb3305c?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":680,""protein"":33,""carbs"":62,""sugar"":12,""fat"":34,""satFat"":18,""fibre"":5,""salt"":1.8,""basis"":""estimated""}"
Japanese Curry,🍛,,carrots;tomatoes;potatoes;onion;beef;chicken;prawns,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""beef"",""ingredients"":[""beef""]}]","[{""name"":""rice"",""ingredients"":[""rice""]}]",Japanese,,"{""kcal"":600,""protein"":28,""carbs"":78,""sugar"":11,""fat"":19,""satFat"":8,""fibre"":6,""salt"":2,""basis"":""estimated""}"
Omelette,🍳,,eggs;cheese;leek;peppers,[],[],Eggs,https://images.unsplash.com/photo-1668283653825-37b80f055b05?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":380,""protein"":26,""carbs"":4,""sugar"":3,""fat"":29,""satFat"":12,""fibre"":1,""salt"":1.1,""basis"":""estimated""}"
Sausage and mash,🥔,,sausages;potatoes;gravy;onion;peas;beans;carrots;broccoli,[],[],British classics,https://images.unsplash.com/photo-1658925111653-2c08083c08ff?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":650,""protein"":24,""carbs"":60,""sugar"":12,""fat"":35,""satFat"":13,""fibre"":8,""salt"":2.4,""basis"":""estimated""}"
Pizza,🍕,yes,pizza,[],"[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]},{""name"":""chips"",""ingredients"":[""chips""]},{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""peppers"",""avocado""]},{""name"":""onion rings"",""ingredients"":[""onions rings""]},{""name"":""sweetcorn"",""ingredients"":[""sweetcorn""]}]",Italian,https://images.unsplash.com/photo-1513104890138-7c749659a591?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":720,""protein"":30,""carbs"":80,""sugar"":8,""fat"":30,""satFat"":13,""fibre"":5,""salt"":3,""basis"":""estimated""}"
Salmon,🍣,yes,salmon,[],"[{""name"":""rice"",""ingredients"":[""rice""]},{""name"":""risotto"",""ingredients"":[""risotto rice"",""chicken stock"",""cream cheese"",""mushroom""]},{""name"":""chips"",""ingredients"":[""potatoes""]},{""name"":""sweet potato fries"",""ingredients"":[""sweet potato""]},{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""tomato""]},{""name"":""pasta"",""ingredients"":[""pasta""]},{""name"":""sweetcorn"",""ingredients"":[""sweetcorn""]}]",Mediterranean,https://images.unsplash.com/photo-1499125562588-29fb8a56b5d5?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":550,""protein"":38,""carbs"":45,""sugar"":4,""fat"":24,""satFat"":5,""fibre"":3,""salt"":1,""basis"":""estimated""}"
Takeaway,🥡,,,"[{""name"":""indian (Himalayan)"",""ingredients"":[]},{""name"":""pizza (Dominos)"",""ingredients"":[]},{""name"":""thai (Broken rice)"",""ingredients"":[]},{""name"":""fish & chips (Lady Bay or George's)"",""ingredients"":[]}]",[],No-cook nights,https://images.unsplash.com/photo-1722417055983-58885a9510b2?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":950,""protein"":38,""carbs"":95,""sugar"":12,""fat"":47,""satFat"":16,""fibre"":7,""salt"":3.5,""basis"":""estimated""}"
Jacket Potatoes,🥔,,jacket potatoes,"[{""name"":""beans"",""ingredients"":[""baked beans"",""cheese""]},{""name"":""tuna"",""ingredients"":[""tuna"",""mayonnaise""]}]","[{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""tomato""]}]",British classics,https://images.unsplash.com/photo-1665931040985-88ceff0fd38e?fm=jpg&q=70&w=600&auto=format&fit=crop,"{""kcal"":520,""protein"":22,""carbs"":70,""sugar"":12,""fat"":16,""satFat"":8,""fibre"":9,""salt"":1.6,""basis"":""estimated""}"
Yaki Soba,🍜,,soba noodles;yaki soba sauce;peppers;spring onion,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""beef"",""ingredients"":[""beef""]},{""name"":""pork"",""ingredients"":[""pork""]}]","[{""name"":""gyoza"",""ingredients"":[""gyoza""]}]",Japanese,,"{""kcal"":560,""protein"":28,""carbs"":78,""sugar"":12,""fat"":15,""satFat"":4,""fibre"":6,""salt"":3,""basis"":""estimated""}"
